class,pairs,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17
1,qid:1,0,1,0,0,1,3,0,1,0,2,3,13,2,6,1,2.5,3
0,qid:1,1,3,0,1,0,0,0,0,1,1,3,14,4,6,1,1.8,2
1,qid:2,1,0,0,0,3,4,0,0,1,0,7,17,1,8,3,2,2
0,qid:2,0,0,0,1,3,5,0,0,1,2,7,21,2,9,2,2.2,4
0,qid:3,1,1,3,0,0,2,0,0,1,1,8,21,4,10,5,1.4,3
1,qid:3,1,1,0,0,0,5,0,0,0,0,8,20,2,8,2,2.5,4
0,qid:4,1,2,0,2,1,2,0,0,0,3,6,18,1,7,4,1.1,2
1,qid:4,1,0,1,1,4,1,0,0,1,1,8,22,5,8,3,1.4,2
0,qid:5,2,0,0,1,1,4,0,0,0,5,8,23,2,9,3,2.4,3
1,qid:5,0,1,0,1,1,1,0,0,0,0,2,6,0,3,1,1.7,2
1,qid:6,1,0,0,1,1,0,0,1,0,0,2,7,1,2,0,1,1
0,qid:6,2,2,0,0,0,3,0,0,0,1,9,22,2,11,2,2.3,4
0,qid:7,0,1,0,1,1,2,0,1,1,3,6,21,5,9,0,2.2,3
1,qid:7,0,0,0,1,1,3,0,0,2,1,5,18,5,11,2,2.4,3
1,qid:8,0,0,0,1,1,1,0,0,1,0,4,11,2,4,1,1.5,2
0,qid:8,3,0,1,0,0,5,0,1,0,0,8,20,2,7,1,1.9,3
0,qid:9,3,0,0,0,0,2,0,0,0,0,7,16,3,5,1,2.2,2
1,qid:9,0,0,0,1,0,0,0,0,0,0,2,7,1,2,0,1.5,2
1,qid:10,0,0,1,1,0,1,0,0,0,1,4,11,2,3,1,2,3
0,qid:10,0,1,0,1,3,4,0,0,1,1,4,16,0,8,2,1.8,3
0,qid:11,0,1,0,1,1,2,0,1,0,1,4,12,1,5,1,1.2,2
1,qid:11,0,0,0,1,0,6,0,0,0,0,9,18,2,8,3,1.8,2
0,qid:12,2,0,0,0,1,4,0,0,0,0,12,23,4,11,2,1.9,3
1,qid:12,0,1,2,0,0,3,0,0,2,1,4,17,4,9,3,1.7,3
1,qid:13,1,0,2,0,2,2,0,0,1,1,8,22,4,10,3,1.5,2
0,qid:13,0,0,1,0,1,4,0,2,0,1,6,17,2,7,2,1.7,2
1,qid:14,0,1,1,0,0,1,0,0,0,1,3,9,2,5,1,1.8,2
0,qid:14,0,1,2,0,1,1,0,2,0,0,6,16,3,5,1,1.2,2
0,qid:15,0,0,1,1,0,3,0,1,0,0,6,22,7,9,2,2.8,4
1,qid:15,0,0,1,1,1,1,0,0,0,2,3,13,4,6,1,2.7,3
0,qid:16,1,0,1,1,0,1,0,0,0,1,8,21,8,10,2,2.5,4
1,qid:16,0,0,0,0,1,3,0,0,0,2,4,13,3,8,1,2.8,3
1,qid:17,1,0,2,0,0,1,0,1,1,0,5,16,5,7,2,2,2
0,qid:17,0,0,2,0,1,1,1,0,0,1,3,13,4,6,1,1.8,2
1,qid:18,1,0,1,0,0,1,0,0,0,0,3,7,1,3,0,2,3
0,qid:18,0,2,1,0,0,1,0,1,0,0,6,14,2,6,2,1.7,2
1,qid:19,1,0,1,2,1,5,0,0,0,1,9,21,1,11,2,2.5,2
0,qid:19,0,0,0,0,0,2,0,1,0,0,4,12,4,4,1,1.8,2
1,qid:20,0,1,1,1,1,0,0,0,0,0,3,8,1,4,1,1.8,3
0,qid:20,0,1,0,4,2,2,0,0,0,3,6,18,0,8,3,1.4,2
1,qid:21,0,0,2,0,1,4,0,0,1,0,4,14,2,6,2,1.2,2
0,qid:21,1,1,1,1,1,3,0,0,1,2,6,23,6,10,3,2.5,3
0,qid:22,0,0,0,1,3,3,0,0,0,3,6,19,3,8,0,2.5,3
1,qid:22,1,0,0,0,2,4,0,0,0,0,8,16,1,7,2,2.6,3
1,qid:23,2,0,0,0,2,3,0,0,0,0,5,13,1,5,1,1.8,2
0,qid:23,2,0,2,0,2,1,0,1,0,1,5,20,6,10,2,2.3,3
1,qid:24,1,1,0,1,0,1,0,0,0,1,5,13,0,4,1,1.3,2
0,qid:24,1,1,1,0,1,1,0,0,0,0,5,13,2,6,2,2,2
0,qid:25,0,1,0,1,3,1,0,0,1,0,7,15,1,6,3,1.2,2
1,qid:25,0,0,1,0,1,1,0,0,0,0,3,7,1,2,0,1,1
0,qid:26,0,1,0,2,1,4,0,0,0,1,8,18,1,8,2,1.9,3
1,qid:26,0,0,0,2,1,3,0,0,1,0,7,14,0,5,2,1.6,2
1,qid:27,0,0,1,1,2,6,0,0,0,1,5,17,1,7,4,1.9,3
0,qid:27,1,0,1,0,1,7,0,0,0,3,8,22,1,8,4,1.8,3
1,qid:28,0,0,0,1,0,4,0,0,1,1,5,17,4,7,1,2.3,3
0,qid:28,1,0,0,0,2,2,0,2,0,0,6,19,6,9,4,2.3,3
1,qid:29,1,0,0,0,0,5,0,0,1,0,5,13,1,6,2,2,2
0,qid:29,0,0,0,1,1,7,0,0,1,1,6,18,1,10,2,2.3,3
1,qid:30,0,0,0,0,0,5,0,0,0,0,5,11,0,3,0,2,3
0,qid:30,0,0,0,0,1,1,2,0,1,0,5,15,4,6,1,2.2,3
0,qid:31,2,0,2,1,1,4,0,0,0,1,9,21,1,10,4,1.6,3
1,qid:31,1,0,0,1,0,5,0,0,0,2,6,16,1,4,4,1.3,2
1,qid:32,1,1,1,1,0,1,0,0,0,0,3,9,0,4,2,2,3
0,qid:32,1,0,1,1,0,0,0,0,1,2,4,18,6,8,0,2.9,4
